2026/06/18 11:46:36.561, 100, 24, 549, 16376, 115.86
2026/06/18 11:46:37.563, 1, 0, 2628, 16376, 86.25
2026/06/18 11:46:38.563, 100, 25, 2627, 16376, 232.85
2026/06/18 11:46:39.563, 100, 25, 2627, 16376, 233.30
2026/06/18 11:46:40.564, 100, 26, 2626, 16376, 234.51
2026/06/18 11:46:41.564, 100, 25, 2626, 16376, 234.11
2026/06/18 11:46:42.564, 100, 26, 2620, 16376, 235.02
2026/06/18 11:46:43.564, 100, 25, 2620, 16376, 234.69
2026/06/18 11:46:44.564, 100, 25, 2620, 16376, 235.08
2026/06/18 11:46:45.564, 100, 26, 2620, 16376, 234.68
2026/06/18 11:46:46.564, 100, 26, 2616, 16376, 235.06
2026/06/18 11:46:47.564, 100, 25, 2616, 16376, 234.95
2026/06/18 11:46:48.564, 100, 25, 2616, 16376, 234.98
2026/06/18 11:46:49.565, 100, 25, 2616, 16376, 234.37
2026/06/18 11:46:50.565, 100, 25, 2616, 16376, 234.02
2026/06/18 11:46:51.565, 100, 26, 2616, 16376, 232.67
2026/06/18 11:46:52.565, 100, 26, 2616, 16376, 233.25
2026/06/18 11:46:53.565, 100, 26, 2616, 16376, 233.59
